wallet,cluster_id,cluster_size,suspicion_score,is_anomaly,cluster_risk_score,cluster_anomaly_count
1QDawm2rSg8bGaJiFihMpEQDQhvZLhkw9H,251,19,64.7,Yes,53.31,11
bc1qmz6fqtvht4n873aqwly8yjsshaujuk6y4nmz9v,251,19,34.19,No,53.31,11
bc1q78q70pgwkttpr0vh8a3gurf44pcdm3mspxg2l6,251,19,65.76,Yes,53.31,11
bc1qx9yeephhl4ludvxvtjq23uhchn76amxk44fyu6,251,19,34.63,No,53.31,11
bc1qy3v7jg0x8h2q5xzy6estrjjwrg7yarcyapfhjw,251,19,68.12,Yes,53.31,11
17ef4UvuKWKRbewbqA7tQbB1phLttkM6xw,251,19,33.04,No,53.31,11
bc1qfq5ug52kwc6gfmhm29lkp4np4vht5eral20e4c,251,19,60.59,Yes,53.31,11
15P69xWc9eGjEhofw6QrnWzJqZHdbxHHLA,251,19,43.69,No,53.31,11
bc1pvslcewfsc3euf46twwsva6q5wtkgy2j5dpq7mh2ptrq5uk500hgqysmzw5,251,19,64.87,Yes,53.31,11
3EoMXtD9om1brumqLVQVDZfw3tVC17N25c,251,19,38.16,No,53.31,11
1HGY6A4RGPUapffmxxPYftvDc8mwYXxLVc,251,19,82.76,Yes,53.31,11
bc1p6mh3hrgdjary6rakxww9ugz4hfq3nufttcta5umf0mdqvfzctrsscayxhh,251,19,58.66,Yes,53.31,11
1KUybV8pNRoimaMMd3ZSqWCXLjcGf91ZS5,299,5,30.62,No,52.02,2
bc1pw7akqaquelcjztggj80407x260ffnrapfptrcp972sxxynfk50psuncs0f,299,5,68.88,Yes,52.02,2
bc1qlk257fdptvzqzet3s8cy3vfe2yjrlgj7u8726v,299,5,76.59,Yes,52.02,2
bc1qqrakm7x674p2sz9tsma5xxs0dayuhft682nw04,299,5,54.07,No,52.02,2
3NRfktcK4y3xZKHkpY9b2m6TxKXibiknAc,299,5,29.93,No,52.02,2
bc1pfwemnjeve2jks2f8p9dgw44syle56h0z5evvdnvllp0wwn5s0cxqhr6ank,267,3,66.09,Yes,50.61,1
bc1qtxurp2n9ct4ps0per92fwsffmq50z2rlvksye2,267,3,55.26,No,50.61,1
1LenGVRi88W3jMfw2XJYQYUBNy2gHVdv4v,267,3,30.47,No,50.61,1
1HLVrSUPcKHEBsj5thWb4tUrXKEv8SfTpy,14,5,38.79,No,49.85,2
bc1pvq8e4cy2zqcgakcnld4khuf770eudzqmvglzlgdmjqu0j75djclq47u9kw,14,5,63.66,Yes,49.85,2
3Qn7bQAUPAbVufHgLQbwqXNtUEL8E6q1Q5,14,5,60.32,Yes,49.85,2
13Fp3Fitw6PWv8K2ds7DMmkctdBg1aneqv,14,5,47.67,No,49.85,2
13sZdnAVvhdepMMttWjViRjdSL4E2xPCMd,14,5,38.79,No,49.85,2
bc1pxlvpt409f4kayfclj0wdxuxdru2qu4pjxukrmz7m524akxtrn9uqdah4m4,296,3,41.32,No,49.43,0
bc1pf73w25gev0qef6dzq7py0h7sdchd6zv2m3twn70dqx88cju8gugsv8pxsu,296,3,54.04,No,49.43,0
1GZtni4VxVAgpgXruKksxUL6jXcsMsvUHJ,296,3,52.94,No,49.43,0
1M54dkFuekuTqGsqVnGNBDtzPbpgXYABcN,248,31,74.33,Yes,49.42,15
bc1q2uq0g5vtxvetn77ptwj9auqqtr4qwdzc6agscc,248,31,67.9,Yes,49.42,15
bc1pgfxjsy4z2uu3r7cdw2d4fuu7lp96y6raatnsknhw0n524q0dhcfqxtft4p,248,31,30.32,No,49.42,15
bc1qdq0nxlfnhduay9s80py9xte9mrucreryc884z3,248,31,65.24,Yes,49.42,15
1Nz1gtkxeiZPDSQe3VQ2hvh3Gmr5Q8Urze,248,31,44.18,No,49.42,15
1DGPkGzZAfafase8qmd3QHKbJXBxi7sg9L,248,31,71.64,Yes,49.42,15
163AMUSM9UXnBd6DfhkZWoSEoAKAo5M8Wy,248,31,38.33,No,49.42,15
3GHqR23dF5yo15CZhogcVFP5P48CgWAX1Y,248,31,64.7,Yes,49.42,15
bc1qva3xr56lzflgmx2t0csnqu3ux8rntnn029mxul,248,31,37.59,No,49.42,15
3Ln4jrxnvD6YTAveBukko5oNVy9R5xpYFh,248,31,61.96,Yes,49.42,15
3DFS8rAVoUAr4CjgazGgjsCdHz983W3uh1,248,31,26.92,No,49.42,15
bc1qmpg0rqw7mzygf4xzrekcufjc79zxsjncgwdvn6,248,31,61.45,Yes,49.42,15
bc1qgke8cgsu2x69gjqk5wltd7pu777jpgzcueuqyj,248,31,28.36,No,49.42,15
1DWnDXsGF2NoPdZvs66EAmSmUYfMT1V21m,248,31,60.95,Yes,49.42,15
18GZ9eGSEaFxg8b7LrbA3fzCsRAEy9ZtaB,248,31,28.04,No,49.42,15
bc1q4ttwr5f220vtcgglacz4g7kxm9u2ah86jc64l3,248,31,60.67,Yes,49.42,15
18Y3Jm96E119yQqq7Vz8xTYY3s1umw3gKn,248,31,38.04,No,49.42,15
bc1qpkcx0uqpetdf3peqws7awde6vv9we0gjrdxcxg,248,31,58.88,Yes,49.42,15
12yGn6rjroGyUSVGn5MwHb9LpWchWaodoa,248,31,29.46,No,49.42,15
bc1qvscf824vq43jk93z2a0hur4fa8z36pptm2k6rn,248,31,56.69,Yes,49.42,15
38B9PrPCuSH7Hv9YgFBt3qqNBDQ2kSTfYW,248,31,28.79,No,49.42,15
38rhX1bYiM49atX6x1MZ3fsR58dJ8r21U1,248,31,56.26,Yes,49.42,15
bc1q30xxt655dgg7yhzlfw7vdqg3sn00vezw8uk0cl,248,31,29.11,No,49.42,15
1NaaiXxdaY1kCMP396aGxy9fGwmsF9V2Xn,248,31,53.29,No,49.42,15
16BVMSRo1fw7sbjaYizGKmZdz8Sa6Zimzn,248,31,38.5,No,49.42,15
bc1q354hgzdsc8zg47e0jd7gdt7xevnx2p5styn24g,248,31,48.07,No,49.42,15
3H31rfQfcjwPYkDA25qCBq5HdsWPQ5C1Py,248,31,26.99,No,49.42,15
38Y4HCAqbTZi952y8MaWqCL2WHyRXxdLka,248,31,68.47,Yes,49.42,15
bc1qtyph7f07zjdz26fzwemdw6rjjw5qsyun5ddtj4,248,31,32.34,No,49.42,15
bc1qpkaru20j93eya79g9v799guxhyhw5atg260q2l,248,31,77.68,Yes,49.42,15
bc1pk45qfkh4q865hjy065rwzk72jax95kcyamlcg99j5z83exrukgts5h8zys,248,31,66.95,Yes,49.42,15
1PHN65gEAnJVrubmaSFGazbZSd6RVMuTHa,7,5,31.08,No,49.33,2
1CWNfTxJCsH6eDMysN1aSuA1qsZSyQcaks,7,5,59.93,Yes,49.33,2
33dBjmD1nSeLXnggFNG3xLzAGPtHxn8owM,7,5,65.76,Yes,49.33,2
bc1qs4xzcavkwu7fxrxdn4fktc7mxz5aqymle44pxx,7,5,51.86,No,49.33,2
bc1qlyssgs2tt9mdnlmtfep0s5cpsv90tcn493xhhk,7,5,38.01,No,49.33,2
1EhEcuHyiCyMLhTrMhPFA4XDz7nbM5TB4i,249,37,79.05,Yes,49.24,16
bc1qwvk4ehu6m8qyhz2p77tvsvmuey9jnw9l2zxh9q,249,37,69.47,Yes,49.24,16
18pkBf3SxZvU8x7vNRmBWiYZ5f4VK4xspu,249,37,36.95,No,49.24,16
12qSc8XzxjWuzziWsgUtZfusNuKTxycHVx,249,37,71.34,Yes,49.24,16
bc1q7vmh8qqy8r9lctak7t86lkv4fqr68n3uk7cgau,249,37,47.88,No,49.24,16
bc1qwj2ad0jxkvpyn484qt46xgn6h5cv4e472t2l00,249,37,70.09,Yes,49.24,16
bc1pry6exqu3x8d6au33qqv0d733x0x24s8p6dv2e2vpy23wg2m6zw5q6avtyn,249,37,28.03,No,49.24,16
bc1qctspn3hvvgtuqaszunkgkyznfgta25pak98tl5,249,37,73.52,Yes,49.24,16
1KmKbJnHY1VJoAZh5RoauZokaAexi1gLn6,249,37,38.33,No,49.24,16
bc1qmnm50h9464af6zdk8zjy2u7x8rfqk3w9xl5j7k,249,37,71.57,Yes,49.24,16
174iHbcyEC4P9EaARukRh5tw3Eq9AjD9Ds,249,37,34.89,No,49.24,16
1FiWKP1FXY7pgq4zNYanSZcNNXqnz1RBHL,249,37,70.54,Yes,49.24,16
3CBK9kmXayuJnzLkUXSa9Qtqe6JY1DeXTX,249,37,29.6,No,49.24,16
bc1qr03ajump7cx7e62r7jv4mg90ne3cetgft3xn27,249,37,68.06,Yes,49.24,16
14QAuVtkAMWVpCpa15X7wRktiSxBptTkVT,249,37,38.78,No,49.24,16
1LRC1NbzyZhAFMdV9vQkBaL8D8pE2E16Zz,249,37,64.39,Yes,49.24,16
1KfMng65fASERWFan38GfwamQXDJYCo4vL,249,37,29.13,No,49.24,16
bc1qsdpfr6jnexctuf5j8ufcn54afqp2mq3pfkdnx4,249,37,60.08,Yes,49.24,16
3H13r4MuH7Dyj7rTCNTUZBaeuki3xAhFDF,249,37,32.08,No,49.24,16
bc1q6t7wwlssj2k7khm22m0kvxpwrvuv6kegezkdjx,249,37,56.81,Yes,49.24,16
18jJN9ticwUNEgkH8jczMoLB14BVnqkF1q,249,37,28.66,No,49.24,16
1DgcEEUVJ7nWPaTPPWLjjcUo7o5ambZMVZ,249,37,55.86,Yes,49.24,16
13P4Sak9gQRc1FVZFvqrh3GstnDcRKFFZH,249,37,28.79,No,49.24,16
3KBBAqDori6yBPPwPRQ6wxfWEu5wTEsZqF,249,37,67.43,Yes,49.24,16
bc1qf4gn60tzx9dqmmkv9w575qsj6gezh3nkjktlpu,249,37,28.83,No,49.24,16
bc1pgjs4ynt7aqyjlf0sxq3hkdrgltmj44uf8zdzdeayv932thu0ys9q0dh47s,249,37,61.49,Yes,49.24,16
bc1p5kddzr3p94yf5u6z0qg97u3cv2ghec9zjm3n6sljgscrtar05tdqa5yxa7,249,37,57.11,Yes,49.24,16
bc1qv7jsfgu2t0c296n8vr4l3w6xlar0tg68986rc5,249,37,53.02,No,49.24,16
1DEk58tJ6X9dHgMbE7P3Ei5KzimoRTyKPe,249,37,34.36,No,49.24,16
bc1ph2t6pavupcvute7uzpwqupv42gqpjkrk7qh0seh9d3q8qk67mgls8hdmtq,249,37,51.71,No,49.24,16
3HKPvbnRVkJATLSnBuhAyLYgtunDn3LKLN,249,37,31.4,No,49.24,16
1N1LGfRzimkizGBdRjs5NTLKFP5dRbnJx1,249,37,56.14,Yes,49.24,16
bc1qqq2tp3cyhj9dmzlyutufsrakr3xkuk0mvfdguj,249,37,37.96,No,49.24,16
bc1qza98ctgw9c3arwmd7dh85s7cfam5kaarmxxgum,249,37,50.4,No,49.24,16
3AnFC1ee8jsJ8c1RYt7kDB1GMuQudhV3Fg,249,37,31.05,No,49.24,16
bc1q34353zys3pjjz54uw6g3lh9drrfngdleqswggj,249,37,48.42,No,49.24,16
bc1qxx2gzqjc9jgg5l57t4l5kt5nr873q2yymvmvax,249,37,28.48,No,49.24,16
bc1qzjjgr05dx2hm5tznx7tykj6t68cp5kyp283868,264,6,27.29,No,49.13,2
1KdXhJYX2CZqvh9StK3STJ7wBoXvdnJac,264,6,47.23,No,49.13,2
3D5vdZmdMPVBkVWxF5dF9s19yt6EJ1GVAW,264,6,68.24,Yes,49.13,2
3DxPwZ2rn5w6iTdMcw9k4wPcFKFLmgkhYp,264,6,79.67,Yes,49.13,2
bc1qpmfw74ygghg79w62rf3hjcj278fvvnj9mtyakd,264,6,45.93,No,49.13,2
3NezBpyjGKUgEKFyALceV5A5rCopzYb1ys,264,6,26.4,No,49.13,2
36QMDovWKnkow8UTabhFoRCbQBuT9QNUyi,268,6,33.53,No,49.07,2
1EMTb1F5dZEbe39ojuGYQ6zfKCVa3WSxjB,268,6,52.15,No,49.07,2
bc1qpsqt0wesu8zw9jmackncuzwr5p0da5ksyswr5s,268,6,47.19,No,49.07,2
1HidxNuGQs1uSaXiNUt8fKonKXtW8wVifi,268,6,47.8,No,49.07,2
1CwDKKugiNz5cXLfwZmG22UgjMeNUTg6pp,268,6,56.96,Yes,49.07,2
129Q9zE8MLvcsGH5mK96MVB81awCHAS3kg,268,6,56.8,Yes,49.07,2
1N98VKk7z4DXn449VGeTksSYWfJEUw7VPj,242,37,78.97,Yes,48.46,15
1PGKX2cTWnka9rLoSj56eKA75yvKa3jRFi,242,37,68.51,Yes,48.46,15
bc1qml0r42kjge0n9df5w873cjmqjprmhwp7w3fnnp,242,37,41.78,No,48.46,15
3HBXrXZfAg1rsho3ng545h2EAMTdMKEhn7,242,37,70.23,Yes,48.46,15
1K8cqr4acR9thF8NqdQDiKxgu3VywX4ctd,242,37,28.44,No,48.46,15
bc1q6eyx2laz5qwvg9lw8w7gz2kq9jkaphs6gzpznf,242,37,73.2,Yes,48.46,15
32tsYm5redfYKeVk8dPGheie2eG4pxQj7K,242,37,27.49,No,48.46,15
bc1qgv75wgqdkxzsasxmy7lkvtnq367yn8088nsxlj,242,37,69.28,Yes,48.46,15
3JnNaHbyndrMmDr6mLu3QEf86etj46rVvk,242,37,61.84,Yes,48.46,15
1PAZBAAsKKHSFHZ259WArvFZqP24xBQfi4,242,37,64.38,Yes,48.46,15
bc1qax6mzukpgajk73pt7fe60lplcrzl9tgl32y3xu,242,37,27.66,No,48.46,15
bc1qx6gnswv23enlk8arc8gujyg5gwkg2x3tpvxk4l,242,37,58.88,Yes,48.46,15
bc1qv8jp70dqcg4gh0xyvj9qu4v4mldrh2xqg22pxl,242,37,27.69,No,48.46,15
bc1qpfhw7ln3sx5qmrvl9j6yvznlc8rzla29wnmvnc,242,37,61.18,Yes,48.46,15
1JYLqMaH8Be9wu6JjG1xLiNzpVTEgpnFfi,242,37,29.41,No,48.46,15
bc1q24kqpjuyshfygcuutmqhtph4ufl9s6ku5qtljx,242,37,59.99,Yes,48.46,15
34tuyk31Fv6igr4RUJ2VzEpaMy98cfAeGj,242,37,39.53,No,48.46,15
16mymBoWuRtusjAS7hsJCpGe7wfHGnyMBZ,242,37,58.04,Yes,48.46,15
bc1qq8fjlatpdmklr5zdll8p43y5p9kgm8zk3m46lv,242,37,26.78,No,48.46,15
bc1pss450fcqd7vpsewq9z4h7ttf66atz3arugjd93rjve4jl6h4xgeqqet8ze,242,37,57.16,Yes,48.46,15
1NMbfeb5NoaeAAg316LoRzSZuahqxPkMtJ,242,37,33.85,No,48.46,15
3GoJK57oApJL5EzNKs6trzVqQLzVwuYw2F,242,37,52.23,No,48.46,15
bc1q70wnq3ge7fw8s6uvymd3rdjx9dqgaqpw3lns7e,242,37,39.81,No,48.46,15
1NuX3p9j8tPepzPny4tAHpzRgdFEzu9LpA,242,37,52.61,No,48.46,15
15CYqyqHArYcAS9MB2gNv6WthKWZswmBni,242,37,36.16,No,48.46,15
32DxCBeAfXPBP2c5HoVYvtwXXdbA8ruvzw,242,37,49.11,No,48.46,15
bc1qhrl6e9492eyqfy5nyu4yz6tpwtqurvt3ywjnys,242,37,28.21,No,48.46,15
